"","Domain","Phylum","Class","Order","Family","Genus","Species","X10","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X11","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X12","X120","X121","X122","X123","X124","X125","X126","X127","X129","X13","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X14","X140","X141","X142","X144","X145","X147","X148","X15","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X16","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X17","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X18","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X19","X190","X191","X192","X193","X194","X195","X196","X197","X198","X20","X200","X201","X202","X203","X204","X205","X206","X207","X208","X209","X21","X210","X211","X212","X213","X214","X216","X217","X218","X219","X22","X220","X221","X222","X223","X224","X225","X226","X227","X228","X229","X23","X230","X231","X232","X233","X234","X235","X236","X237","X238","X24","X240","X241","X242","X243","X244","X245","X246","X247","X248","X249","X25","X250","X251","X252","X253","X254","X255","X256","X257","X258","X259","X26","X260","X261","X262","X263","X264","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X51","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X7","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X8","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X9","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99"
"OTU1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"0","31.38","46.74","35.92","41.2","39.2","71.21","84.32","72.02","95.74","95.42","0","68.15","65.28","64.08","67.81","67.87","66.84","46.56","61.01","38.17","63.78","0","44.89","42.54","45.96","43.82","44.35","45.58","43.29","45.9","49.7","0","0.37","0.64","0.15","0.48","0.83","0.28","0.56","0.38","0.2","0.46","0","78.96","75.79","78.3","68.56","80.67","84.32","80.63","0","78.48","86.28","76.46","80.72","77.92","66.65","79.45","70.03","72.54","75.41","0","74.26","78.66","44.3","42.54","38.79","4.82","4.24","0","4.81","0","0","0","0","0","0","6.82","3.33","1.62","6.03","1.93","0","0","9.95","4.99","2.64","1.48","0","0","0","0","2.76","0","0","6.86","1.88","5.25","0.3","0","0","0","0","3.96","0.64","0","0","0.35","0","1.32","0","0","0","0","0","0","0","0","0","0","0","0","1.68","0","0","0","0","0","0","0","0","0","0.72","3.25","1.21","0","1.83","6.38","0","0","0","8.38","0","4.01","20.55","20.92","1.58","27.49","17.36","10.36","1.31","7.8","0.93","0.01","0.27","4","13.05","0","8.75","0","14.57","4.99","13.29","14.58","9.85","0","0","2.05","0.77","0.01","0","6.31","0","6.71","0.49","0.58","1.4","1.04","0.42","0","0.74","0","0.55","0.29","1.04","0","0","1.46","0","31","2.72","0","0","0","20.21","5.66","0.87","0","2.1","0.98","5.22","4.84","11.48","22.48","5.2","27.12","32.24","58.48","36.57","61.25","76.42","76.52","77.83","76.47","76.29","0","0.6","0","1.62","2.65","0.4","0","1.03","0","0","0","1.15","0.84","0","0.29","0","0.31","15.84","11.83","7.4","22.08","17.46","1.54","0","0.15","0.44","1.98","0","42.36","47.65","51.92","46.15","43.39"
"OTU100","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02","0","0","0","0","0.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.36","0","0","0","0","0","0","0","0","0","1.26","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.47","0","0.08","0","0","0","0","0","0","0","0","0","0","0","0","0","2.21","0","0.56","0","0","0","0","0.48","0","0","0","0","0","0","0","0.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.12","0","0","0","0","0","0","0","0","0","0","0","0","0.04"
"OTU1005","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","silva138bac_g_5642",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OTU1008","Bacteria","Myxococcota","Polyangia","Polyangiales","uncl_Polyangiales","uncl_Polyangiales",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.45","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OTU101","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0.02","0","0","0","0","0","0","0.1","0","0","0","0","0","0","0","0","0.04","0","0","0.1","0","0","0","0","0","0","0","0","0.01","0","0","0","0.01","0","0","0","0","0","0","0","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0.02","0.03","0.02","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.45","0","0","0","0","0","0","1.98","0.38","0","0","0","0","0","0","0","0","0","0","0","0.03","0"
"OTU1010","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Ca_Omnitrophus",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OTU1012","Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02","0","0","0","0","0","0","0","0.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.12","0","0","0","0","0","0","0","0","0.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OTU1014","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0.02","0","0","0","0","0","0","0","0.06","0","0","0","0","0","0","0","0","0.01","0","0","0","0","0","0","0","0.01","0","0","0","0","0","0","0","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02","0","0","0","0","0","0","0","0","1.07","0","0","0","0","0","0","0","0","0.44","0","0","0","0","0","0","0","0","1.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OTU1015","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","silva138bac_g_11164",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0","0","0.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OTU102","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","silva138bac_g_53102",NA,"0","0.02","0","0","0","0","0","0","0","0","0","0.65","0","0","0","0","0","0","0","0","0","0","1.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.94","0","0","0","0","0","0","0","0.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.22","0","0","0","0","0","0","0","0","0","0","0.66","0","0","0","0","0","0","2.01","0","0.69","0","0","0","0.46","0","0.32","0","0.77","0","1.86","4.33","2.22","0","1.1","2.46","0","0","0","2.4","0","3.99","0","0","0","0","0","0","0.01","0","0","0","0","0.03","0.03","0","0","0","0","0","0","0.55","0","0","2.39","0.86","0","0","0","0","2.46","1.34","0","0","0.26","1.11","0","0","0.63","0.98","1.16","0.18","0","1.22","0","0.83","0","0","0","0","0"
