,SampleID,pair,16S (SILVA) clean reads,16S (RDP) clean reads,ITS clean reads,powerplant,site,type,treatment,temperature,depth,Cl,Br,SO4,F,SO3,Acetate,Acetate_C,Propionate,Propionate_C,Formate,Formate_C,DOC,HOC,Makro1,Makro2,Makro3,LMWA,LMWN,sampleid_original,original_order
X215,X215,110,1631,1631,0,Theistareykir,PG-14,Injection,direct,185,2500,0.06,0,20.27,1.2,37.8,0,NA,NA,NA,1.7,0.45,0.35,0,0,0,0,0.02,0.33,215,209
X216,X216,111,32040,32040,0,Theistareykir,PG-14,Injection,direct,185,2500,0.06,0,20.27,1.2,37.8,0,NA,NA,NA,1.7,0.45,0.35,0,0,0,0,0.02,0.33,216,210
X86,X86,41,38247,35089,0,Neustadt-Glewe,Production,Production,direct,97,2455,135.2,339.32,442.54,0.56,NA,42.11,17.13,0,NA,0,NA,19.49,1.8,0.13,0,0,9.04,8.52,86,80
X81,X81,36,49655,43938,0,Bad Blumau,Production,Production,spores,110,2843,4.08,8.87,532.25,10.21,NA,16.22,6.6,1.37,0.68,NA,NA,8.76,1.32,1.61,0,0,4.93,0.96,81,75
B13,B13,NA,50817,49756,0,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B13,274
X25,X25,7,55126,52513,1,Insheim,Production,Production,spores,165,3650,76.26,170.58,117.06,5.5,0,0.6,0.14,NA,NA,0,NA,1.81,0,0.03,0,0,0.26,1.52,25,19
X197,X197,92,20721,20721,5,Krafla,K-06,Production,spores,341.5,2000,0.03,0,251.42,1.21,54.63,1.34,0.55,NA,NA,1.36,0.36,0.53,0,0,0,0,0.26,0.27,197,191
X43,X43,13,75727,66384,15,Insheim,Injection,Injection,spores,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,43,37
X11,X11,5,46914,46135,37,Insheim,Injection,Injection,direct,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,11,5
X188,X188,83,76401,73495,45,Krafla,K-26,Injection,spores,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,188,182
X109,X109,59,39138,39012,58,Heemskerk,Production,Production,direct,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,109,103
X107,X107,57,35652,34953,127,Heemskerk,Production,Production,direct,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,107,101
X23,X23,5,31383,31383,214,Insheim,Injection,Injection,spores,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,23,17
X130,X130,45,27293,27293,238,Heemskerk,Production,Production,spores,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,130,124
